chosen_label,text
1,u really think i would not have been raped by feral hindu or muslim back in india or bangladesh and a neo nazi would rape me as well just to see me cry
1,the uk has threatened to return radioactive waste to the eu if an agreement cannot be reached can not we keep the radioactive waste and send back all the paki migrants instead
1,if english is not imposition then hindi is also not imposition shut up chutiya retards stophindiimposition
1,no liberal congratulated hindu refugees post cab because they hate hindus
1,he said bro even your texts sound redneck whatever the fuck that means 
0,i live and work with many legal mexican immigrants who are great citizens and trump supporters they have no problem with deporting illegals maga
1,in britain the prime minister a childless woman london mayor a moslem invader in command of london police a lesbian in command of london fire brigade a fat woman scotland first minister a childless woman
0, there shd be a film called no hindus in kashmir wud be perfect islamic fanaticsm movement in kashmir
0,jews defends jews regardless muslims defend muslins regardless christian european attack christians christian people are on their own and jews and muslims have another home we don ffs we do not why can not people understand that it not that difficult
1,the non partisan congressional budget office cbo has released their report on sens lindsey graham and dick durbin the dream act the report shows that their legislation would add billion to the deficit over a ten year period and lots more immigrant scum
0,got a couple more companies you can boycott this christmas season first one is ford they have got several ads out featuring blip length shots of white men w other than white women this is becoming the norm too you defile the white man that will drive our women into their hands wn
0,people are going to blame the white nationalists for what happened but they were initially peaceful before antifa showed up what happened yesterday is the result of political correctness and the left legitimising political violence that why the establishment leftists do not condemn antifa 
0,you are completely correct without it communication breaks down leading to distortions misrepresentations this is a very serious problem among white males who failed to learn the language effectively
0,caucasians wearing masks to prevent coronavirus and still don t wash their hands
1, americans dead because of an illegal immigrant this is infuriating enforce our laws deport them
0, besudes guilt saviour complex among whites has reached such an alarming level that they want to save indian girls from being raped when the rate of sexual assault in their own countries is significantly higher
1,thank a white man you live in his world and why do you islanders say you are canadian so rude really if i lived in a brown country even with citizenship i would never call myself ethiopian chinese indian you are a caribbean living in canada
1,nigger faggot retard beaner dishwasher time to see if i get ban
0,your idea of compassion is allowing kate steinle killer go free that not compassion it a mental illness let be compassionate to the legal citizens of this country stop funding illegal immigrants stop encouraging lawlessness and build that fucking wall maga gabfam news
0,why don t white boys with curly hair comb it looks like a bird nest
0,blow a stack for yo niggas with yo trapping ass
0, yes they put fear in black people jews and even white civil rights workers and they deny the holocaust ever happened
0,they playing a lot of ethnic music at this white ass wedding
1,that a retarded non argument the bible is also a best seller in communist china
0, i think immigrants should replace people like you
